type,variety,level_2,dist01,dist02,dist03,dist04,dist05,dist06,dist07,dist08,dist09,dist10,dist11,dist12,dist13,dist14,dist15,dist16,dist17
Table,Scarlet Royal ,brixfactor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Table,Scarlet Royal ,tons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2477.5,0.0,0.0,0.0
Table,Scarlet Royal ,wt_ave_base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.74,0.0,0.0,0.0
Table,Sugraone * ,brixfactor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Table,Sugraone * ,tons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.6,0.0,0.0,0.0
Table,Sugraone * ,wt_ave_base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0
Table,Summer Royal ,brixfactor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Table,Summer Royal ,tons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0.0,0.0,0.0
Table,Summer Royal ,wt_ave_base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0
Table,Sweet Sunshine ,brixfactor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Table,Sweet Sunshine ,tons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3636.7,0.0,0.0,0.0
Table,Sweet Sunshine ,wt_ave_base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.69,0.0,0.0,0.0
White Wine,Albarino ,brixfactor,10700.0,0.0,3475.0,7614.285714285715,2850.0,100.0,6975.0,5328.125,3425.0,6550.0,7841.25,0.0,100.0,0.0,100.0,1475.0,14515.714285714286
White Wine,Albarino ,tons,1.6,0.0,50.2,39.0,201.3,0.3,388.6,185.0,25.6,25.9,755.8,0.0,14.7,0.0,0.8,40.6,1401.7
White Wine,Albarino ,wt_ave_base,2400.0,0.0,2531.1,4135.17,771.58,1400.0,1388.3,2033.48,1369.92,2093.24,775.72,0.0,500.11,0.0,1600.0,1966.89,675.35
White Wine,Arneis ,brixfactor,9450.0,0.0,0.0,5500.0,0.0,0.0,0.0,7020.0,0.0,11100.0,100.0,0.0,0.0,0.0,0.0,9466.666666666666,0.0
White Wine,Arneis ,tons,30.5,0.0,0.0,2.2,0.0,0.0,0.0,10.6,0.0,1.4,7.4,0.0,0.0,0.0,0.0,30.9,0.0
White Wine,Arneis ,wt_ave_base,1908.2,0.0,0.0,2759.61,0.0,0.0,0.0,2240.17,0.0,2300.0,2000.0,0.0,0.0,0.0,0.0,2278.17,0.0
White Wine,Burger * ,brixfactor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,400.0,2673.3333333333335,0.0,0.0,0.0,0.0
White Wine,Burger * ,tons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2645.6,795.6,20108.1,0.0,0.0,0.0,0.0
White Wine,Burger * ,wt_ave_base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.16,275.0,266.95,0.0,0.0,0.0,0.0
White Wine,Chardonnay * ,brixfactor,8224.535353535353,10875.8,6693.705679862306,6817.878151260505,5564.285714285715,8524.25925925926,8218.970588235294,8964.036269430051,6462.333333333333,7179.310344827586,19998.166666666668,12500.214285714286,12448.285714285714,12016.666666666666,100.0,6464.285714285715,20777.0
White Wine,Chardonnay * ,tons,15402.5,1193.8,46787.5,14042.6,2575.4,1813.8,45243.6,16807.3,13247.9,525.5,119026.1,23594.2,83431.0,27239.4,4.1,93.0,44472.3
White Wine,Chardonnay * ,wt_ave_base,1327.84,1309.06,2414.55,3031.48,938.75,1019.62,1340.62,1441.11,599.2,1416.25,515.87,455.79,381.86,333.68,1326.83,1876.16,600.14
White Wine,Chenin Blanc ,brixfactor,4466.785714285715,0.0,5360.0,2028.5714285714287,100.0,0.0,4737.5,6060.526315789473,8701.666666666666,2416.6666666666665,6597.777777777777,25095.0,7541.666666666667,0.0,0.0,100.0,5564.0
White Wine,Chenin Blanc ,tons,130.7,0.0,35.2,18.7,438.7,0.0,126.3,291.3,115.8,19.8,1995.0,4513.6,16872.0,0.0,0.0,4.5,8692.5
White Wine,Chenin Blanc ,wt_ave_base,1723.96,0.0,1770.74,3003.18,445.61,0.0,1431.75,1543.99,519.49,1830.3,417.81,256.22,294.04,0.0,0.0,1693.33,451.51
White Wine,Cortese ,brixfactor,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.0
White Wine,Cortese ,tons,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.3
White Wine,Cortese ,wt_ave_base,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607.86
White Wine,Fiano ,brixfactor,0.0,0.0,4433.333333333333,100.0,0.0,100.0,0.0,100.0,100.0,11360.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0
White Wine,Fiano ,tons,0.0,0.0,16.5,2.2,0.0,7.1,0.0,5.3,9.2,5.2,8.1,0.0,0.0,0.0,0.0,3.1,5.5
White Wine,Fiano ,wt_ave_base,0.0,0.0,2409.7,2765.69,0.0,1800.0,0.0,2211.32,1236.96,1792.31,1080.0,0.0,0.0,0.0,0.0,2135.48,1060.0
White Wine,Flora ,brixfactor,0.0,0.0,0.0,7400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Wine,Flora ,tons,0.0,0.0,0.0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Wine,Flora ,wt_ave_base,0.0,0.0,0.0,2310.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Wine,French Colombard ,brixfactor,4985.625,0.0,2800.0,0.0,0.0,0.0,0.0,0.0,4600.0,0.0,3700.0,0.0,12427.96875,9100.0,0.0,0.0,0.0
White Wine,French Colombard ,tons,122.9,0.0,50.6,0.0,0.0,0.0,0.0,0.0,4.6,0.0,3040.7,0.0,245860.3,38450.8,0.0,0.0,0.0
White Wine,French Colombard ,wt_ave_base,1232.48,0.0,1328.13,0.0,0.0,0.0,0.0,0.0,1526.09,0.0,306.07,0.0,277.23,256.68,0.0,0.0,0.0
White Wine,Gewurztraminer ,brixfactor,4150.0,100.0,1225.0,100.0,10800.0,14400.0,8174.375,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,16778.2
White Wine,Gewurztraminer ,tons,202.0,82.6,86.0,8.7,237.3,0.1,5267.7,17.7,10.9,0.0,125.2,0.0,0.0,0.0,0.0,0.0,5504.3
White Wine,Gewurztraminer ,wt_ave_base,2154.79,1623.15,1967.57,2000.0,700.0,2000.0,772.74,1435.03,1880.73,0.0,583.87,0.0,0.0,0.0,0.0,0.0,597.52
White Wine,Gray Riesling * ,brixfactor,0.0,0.0,3304.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
White Wine,Gray Riesling * ,tons,0.0,0.0,39.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
White Wine,Gray Riesling * ,wt_ave_base,0.0,0.0,2505.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0
White Wine,Grenache Blanc ,brixfactor,100.0,100.0,4890.0,4666.666666666667,100.0,0.0,1887.5,5476.322033898305,4250.0,3766.6666666666665,10880.0,0.0,1783.75,0.0,2200.0,100.0,0.0
White Wine,Grenache Blanc ,tons,1.0,1.1,64.6,30.9,3.5,0.0,52.8,582.8,22.9,44.8,57.5,0.0,307.3,0.0,3.1,16.1,0.0
White Wine,Grenache Blanc ,wt_ave_base,1900.0,2000.0,3081.96,2496.47,2748.58,0.0,1654.79,1789.28,1550.41,2034.38,1028.35,0.0,368.83,0.0,2200.0,2059.63,0.0
White Wine,Grenache Gris ,brixfactor,5700.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Wine,Grenache Gris ,tons,10.9,0.0,0.0,0.0,0.0,0.0,35.2,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Wine,Grenache Gris ,wt_ave_base,3000.0,0.0,0.0,0.0,0.0,0.0,350.0,2350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Wine,Gruner Veltliner ,brixfactor,8550.0,0.0,100.0,100.0,0.0,100.0,13620.0,472.72727272727275,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21325.0
White Wine,Gruner Veltliner ,tons,3.1,0.0,3.4,1.7,0.0,1.9,303.1,71.4,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0
White Wine,Gruner Veltliner ,wt_ave_base,2080.65,0.0,2700.0,1800.0,0.0,2000.0,1204.62,2082.69,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.42
White Wine,Malvasia Bianca ,brixfactor,0.0,0.0,10450.0,3766.6666666666665,100.0,100.0,14160.0,3814.285714285714,100.0,0.0,19217.5,100.0,7616.666666666667,0.0,0.0,13400.0,0.0
White Wine,Malvasia Bianca ,tons,0.0,0.0,26.1,4.4,3.0,26.5,337.5,84.0,0.5,0.0,1099.6,354.6,22.1,0.0,0.0,7.2,0.0
White Wine,Malvasia Bianca ,wt_ave_base,0.0,0.0,2164.75,2690.91,1500.0,1179.62,1254.22,953.98,750.0,0.0,403.36,413.85,710.41,0.0,0.0,967.0,0.0
White Wine,Marsanne ,brixfactor,100.0,0.0,4220.0,70635.0,0.0,0.0,100.0,8011.764705882353,0.0,2262.5,0.0,0.0,1447.0,0.0,0.0,100.0,0.0
White Wine,Marsanne ,tons,13.8,0.0,44.1,2.4,0.0,0.0,32.3,55.2,0.0,39.6,0.0,0.0,25.6,0.0,0.0,3.5,0.0
White Wine,Marsanne ,wt_ave_base,2782.61,0.0,2655.91,5200.0,0.0,0.0,1272.25,2106.39,0.0,2074.01,0.0,0.0,1223.34,0.0,0.0,1442.86,0.0
White Wine,Melon ,brixfactor,0.0,0.0,8950.0,0.0,0.0,0.0,3465.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Wine,Melon ,tons,0.0,0.0,14.1,0.0,0.0,0.0,9.9,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Wine,Melon ,wt_ave_base,0.0,0.0,2146.0,0.0,0.0,0.0,2793.94,2289.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Wine,Moscato Gaillo * ,brixfactor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Wine,Moscato Gaillo * ,tons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Wine,Moscato Gaillo * ,wt_ave_base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Wine,Muscat Blanc * ,brixfactor,3957.1428571428573,11079.09090909091,100.0,4216.666666666667,100.0,100.0,19025.0,4445.0,4600.0,6360.0,10228.125,0.0,4452.777777777777,8650.0,100.0,4091.6666666666665,100.0
